route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
296-158,125-C-Weekday-50,9921201-125-C-Weekday-50,"Redwood City Transit Center",2961046,0,,2960218
296-158,125-C-Weekday-50,9921202-125-C-Weekday-50,"Redwood City Transit Center",2961043,1,,2960240
296-158,125-C-Weekday-50,9921203-125-C-Weekday-50,"Redwood City Transit Center",2961062,0,,2960218
296-158,125-C-Weekday-50,9921204-125-C-Weekday-50,"Redwood City Transit Center",2961059,1,,2960240
296-158,125-C-Weekday-50,9921205-125-C-Weekday-50,"Redwood City Transit Center",2961078,0,,2960218
292-158,125-C-Weekday-50,9921206-125-C-Weekday-50,"Hillsdale Mall",2921043,1,,2921015
292-158,125-C-Weekday-50,9921207-125-C-Weekday-50,"San Francisco",2921036,0,,2921014
292-158,125-C-Weekday-50,9921208-125-C-Weekday-50,"San Francisco",2921010,0,,2921014
122-158,125-C-Weekday-50,9921209-125-C-Weekday-50,"South SF BART",1221043,1,,1220499
292-158,125-C-Weekday-50,9921210-125-C-Weekday-50,"Hillsdale Mall",2921023,1,,2921015
296-158,125-C-Weekday-50,9921211-125-C-Weekday-50,"Redwood City Transit Center",2961018,0,,2960218
296-158,125-C-Weekday-50,9921212-125-C-Weekday-50,"Redwood City Transit Center",2961015,1,,2960240
296-158,125-C-Weekday-50,9921213-125-C-Weekday-50,"Redwood City Transit Center",2961034,0,,2960218
296-158,125-C-Weekday-50,9921214-125-C-Weekday-50,"Redwood City Transit Center",2961031,1,,2960240
296-158,125-C-Weekday-50,9921215-125-C-Weekday-50,"Redwood City Transit Center",2961050,0,,2960218
296-158,125-C-Weekday-50,9921216-125-C-Weekday-50,"Redwood City Transit Center",2961047,1,,2960240
296-158,125-C-Weekday-50,9921217-125-C-Weekday-50,"Redwood City Transit Center",2961066,0,,2960218
292-158,125-C-Weekday-50,9921218-125-C-Weekday-50,"San Francisco",2921012,0,,2921017
61-158,125-C-Weekday-50-SDon-1101100,9921219-125-C-Weekday-50-SDon-1101100,"San Carlos Caltrain",611007,1,,610025
122-158,125-C-Weekday-50,9921220-125-C-Weekday-50,"Stonestown/SF State",1221056,0,,1220498
60-158,125-C-Weekday-50-SDon,9921221-125-C-Weekday-50-SDon,"Bridge/Bowsprit",601010,0,,600150
292-158,125-C-Weekday-50,9921222-125-C-Weekday-50,"San Francisco",2921068,0,,2921017
